6,17121221031313,5124842,3986834,3986428,3700000
6,17121226145523,27134148,20279498,20279574,3700000
6,17121231525200,3511723,2857373,2857267,3700000
6,17121239526975,18833,55524,55380,3175000
6,17121247739454,21008,67002,67357,3100000
6,17121255535703,135998,163647,163387,3700000
6,17121267741030,23951,111985,111984,2665000
6,17121275739668,24012,79329,79331,3055000
6,17121287738037,22727,92103,92103,2800000
6,17121295739401,72189,113007,113008,3700000
6,17121311744983,25647,81824,81822,3100000
6,17121324764667,41660,136793,136803,3055000
6,17121366488855,66466,145128,145752,3700000
6,17121495547207,50321,212785,213424,2755000
6,17121670125044,48544,172547,172185,2965000
6,17121677597176,864546,1391655,1391080,3700000
6,17121683523578,109564,141764,141824,3700000
6,17121691523309,24871,70676,71861,3265000
6,17121699533469,19863,70651,69453,2965000
6,17121707727725,25440,89472,89552,2965000
6,17121719738246,138586,480336,480483,2965000
6,17121727734861,18357,75326,75088,2800000
6,17121735533374,27718,107179,107180,2830000
6,17121743531331,27785,97738,97717,2965000
6,17121751775941,25437,95220,95257,2875000
6,17121763523559,24775,121895,122098,2620000
6,17121771521006,14953,50562,50308,3010000
6,17121779520576,24896,87187,87591,2965000
6,17121786651838,2092510,3061130,3060686,3700000
6,17121799529375,2571090,3382176,3382250,3700000
6,17121811538163,25400,213248,213435,2230000
6,17121819536852,25755,157715,157454,2455000
6,17121831532315,24075,152512,152519,2410000
6,17121839535171,1587470,1420795,1421358,3700000
6,17121847529392,16441,77839,77270,2665000
6,17121855534973,31648,127441,127378,2800000
6,17121867521459,30877,95334,95373,3130000
6,17121879521050,23161,92491,92445,2830000
6,17121887532553,26659,83335,83446,3100000
6,17121895732599,17271,68922,68920,2830000
6,17121903734243,16758,72542,72544,2755000
6,17121915733844,32112,103578,103565,3100000
6,17122647791111,14706,100825,101389,2365000
6,17123255792385,45506,196355,196233,2755000
6,17123319530323,39060,150267,150295,2830000
6,17124375520457,29105,138819,139023,2620000
6,17124422144393,31450,149808,149865,2620000
6,17124427772727,102555,383234,382939,2875000
6,17124435766877,19287,130931,131053,2365000
6,17124695803692,15456,141571,141608,2200000
6,17125886959440,3242231,2018510,2018663,3700000
6,17125895478575,60407362,37858926,37858642,3700000
6,17125903478345,54084226,35411394,35410934,3700000
6,17125911478336,54238622,35430732,35430674,3700000
6,17125919478377,49597877,35322425,35322522,3700000
6,17125927477978,54008184,35329824,35329762,3700000
6,17125935477869,53998035,35318596,35318598,3700000
6,17125943477840,53976529,35319380,35319370,3700000
6,17125951477941,53963778,35283383,35283390,3700000
6,17125959477842,53979783,35282125,35282105,3700000
6,17125967477713,53905329,35256375,35256394,3700000
6,17125975477373,53906422,35242371,35242373,3700000
6,17125983477444,53964997,35256994,35256999,3700000
6,17125991477345,53887093,35231092,35231076,3700000
6,17125999477366,53812505,35206678,35206684,3700000
6,17126007477117,53859745,35219623,35219636,3700000
6,17126015477128,53863845,35217512,35217494,3700000
6,17126023476869,53824635,35205395,35205341,3700000
